JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Data Scientist,AccruePartners,"Charlotte, NC","Opportunity to analyze various sets of data to help identify various trends along with optimizations.
3-5 years of experience sourcing cleaning and validating…",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFT9rQaxa2Xft6ZhfuCJ3nISOVyKdn6K_hPODsRhi1N-a_TAHK2MwRO8kgnDnXpKmCk-Lwe7DNQ-KwPzj_l15CTlcMEFbGAvWQEDLFnZbQO_qOyM7xRb-0FlN-FBt39gE67zG3lUjAP3L2tKPeeU5pePB3dF6T4bADUzQSKwxi6vs8UrqFrzryAo_1bfx9sYwIe2pVMNE--i8HVJ-2ztOnXbfAK5y4Oqw-mM7Ca6s8pNhcFVdlctnWUdaEOineETLIntlQB7pHAvcEeWebn_HG66akroDeglJO10LzqunfHyU6nwrFWBHD1Y5B5cG0K_uODJsSJKWTuDg0bHT210hKRJgrk9Z1wyMXgGXZsKvysYuXzyfZ9PmKtEWQuJMQDHKyMLd5AnzoKpgoCTXM1guhyYw==&p=0&fvj=0&vjs=3
Data Science Fellow,The Data Incubator,United States,"By the end of the program, you’ll have the skills and tools you need to become one of the leading data scientists of the future.",,30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AFcTrA1_uKpZHrLOjwp2Xyaym5SxGSiM5Y5L77SresXLp9O6CsoIptZaJuEMhR_zGKN2gn9c3kTqK4V6I8mfRTLMkDAwGdnsN54yD75HhxeJxvIt9b-NRCrXWNVkDviX4GHpU8x9omX4ozSueFNmfv4Bhb5buDaz9onqFjj8KVNynv_fvv1XCstwvW6bmTruvBLuyEJh41iej1h2n5ZuHC_q_l10FqNav_tGjHyBm3Krbncvoll_jq8KTsWnjVwd6xlK72KvtIV7rh0XSY0tutXC3DRyHczXfCcrbsCQinCUVCIW0UCVN8JBrqa0fKYDENNUkXA0VC5hBikX6xjLKcOAohVNun7raVadUKm5huRNUwN72x8jBiqfvAl_QJ3H0EMydMGN4hOtasGliIwA0PqNCxcrqq78Zfcqar56lRMmLyMUmJ4csUXsesg_j-q2CnKWX4fzCeLQ==&p=1&fvj=1&vjs=3
Data Scientist,"Pyramid Consulting, Inc","Charlotte, NC","Perform data exploration and data mining.
Client business narratives told by the data and present them to other scientists, business stakeholders, and managers…",,17 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bjic9BpODao-m9BEup4myv2yv9o6hanv70kCRpjMjSDcmmrD9YS-C3oR4_7EU-DV3_MOd0n6ADolXtSPDqZc3MQsNbHGun35yurOGzxnQbNSozOUufdZLietqTDPBZJ_DhNOQ0QC8CfOaU5KPiSoeAcs_DyGCXDbX9PsuSm3cTt52fHlIFfoeriw8WaVXUaF4P--P6OTWPOqGoIzfdIblO6h9anVTZRULUsgfeIDBAs816wRCzFz6cdo024HuZihlSPIsWv6MA98ed91CTr6a3f8CpQ282MtlAvIExnSPWsiF4CBG1FUpK21cWEgcAWj_aIzhSz5YelfD7TlS4-tHqKchfil55YGbqbJnWCUtzWETZTlsG_EfuKFusPk0nIn9mUa1C_wLsZL0OTo4RgM-c6mGrXMCDJq8c1DOR5r9XlbgjyG_qM_YWVUCp0V-t-hNvPfvfKhhUPXG8yx4AEiRP6R6SmFEjJQXxlHMdcdhugO4_Yz7PPE5Wcr8KEJc02E0oLvot9vqQtmAcoKLMSLgIP_DirDVwwAPzEnjBD8ZfhaaDvqqzka34FBZwvioCMAeh44dRNy4Td80pfr7mYlNnqUNJ2ub7OV2jhsjyIurpBzqKvoPJH3jROYAIU2TodLpBiJt6eb-u2DoH7lKJtjBGK9NvMtDfSy6_Op0zvyWN8RoPlWKLLrRixwCuG6x1Wzqei-tnSk4u53pw45Zy0Iw-27w42jnJKkibzMvy78EPzcHGr1CGlH-QsBMI4K3trzadWMjZ8NGKNV9531hkT9MIRptPOWJ25jtuAEgN54jBISy7WOzGKVWlqYSQrCviCwm7pmNqe-Q4NUFWqxbbVOtCyKRaQ20FrtMtWx3HTk0DzDeOeFkoeOnLCKNuepIj5vFMtjb6WFHtNXdDMH4O0mGGKkhpBmsjoJUT7HA0pc9o-PU1ia5iWuQsFMpa1NpZtdEo_xf90DTBt1IzVP_p-pne_riG2eptH3XssMoO2pkW-w==&p=2&fvj=0&vjs=3
Data Scientist,Data Bridge Consultants,"Charlotte, NC","3+ years experience in machine learning, data science, data engineering, and/or computational software development.",,Today,https://www.indeed.com/rc/clk?jk=f2f7876be2abbdc5&fccid=eb7bcec5d5284bf2&vjs=3
Data Scientist,Sealed Air Corporation,"Charlotte, NC","Design, build, and extract large and complex data sets while thinking providing insights into uses of data and how data use interacts with data design.",,Today,https://www.indeed.com/rc/clk?jk=33ed38beb2843cdd&fccid=66c010dc97a69d7c&vjs=3
Senior Data Scientist,Sealed Air Corporation,"Charlotte, NC","Designs and develops IT architecture (integrated process, applications, data and technology) solutions to business problems in alignment with the enterprise…",,Today,https://www.indeed.com/rc/clk?jk=bad42114fb5c5bc9&fccid=66c010dc97a69d7c&vjs=3
Data Scientist,XPO Logistics,"Charlotte, NC","1-year experience in data science with a focus on pricing analytics, statistical modeling, machine learning, forecasting and optimization.",,8 days ago,https://www.indeed.com/rc/clk?jk=691394f5dd643da2&fccid=518acc75d1476dc2&vjs=3
Strategic Analytics – Data Scientist,Deloitte,"Charlotte, NC","1-2 years of relevant work experience as a data scientist is preferred.
Our project-based team is looking for a Data Scientist who will be responsible for…",,30+ days ago,https://www.indeed.com/rc/clk?jk=dbca3f92a4d6bbab&fccid=9e215d88a6b33622&vjs=3
Data Scientist - Marketing Analytics,"Octapharma Plasma, Inc.","Charlotte, NC",Leverage a variety of data mining/data analysis methods in order to test and propose effectiveness of difference courses of action.,,1 day ago,https://www.indeed.com/rc/clk?jk=9e0bf887557891c2&fccid=3a089e5046801bd7&vjs=3
Data Scientist,Progress Residential,"Charlotte, NC","We evaluate and use the latest technologies that help us perform the financial engineering, geospatial analysis and data science necessary to manage over $10bn…",,8 days ago,https://www.indeed.com/rc/clk?jk=14f7fca9c89e63da&fccid=7e6b47a026e08769&vjs=3
Data Analytics Co-Op (Summer/Fall 2021),Collins Aerospace,"Charlotte, NC","Supports machine learning to improve business productivity in analytics.
The Data Analytics team is seeking an intern that will work closely with Data Analytics…",,15 days ago,https://www.indeed.com/rc/clk?jk=201485e748a6df7f&fccid=3d30677097704d8f&vjs=3
Data Scientist (Financial Services-Remote),Ayasdi,"Charlotte, NC","5+ years hands on experience delivering machine learning applications in financial services with demonstrable results.
MS or PhD in quantitative field.",,16 days ago,https://www.indeed.com/rc/clk?jk=03b5b0a75306dc6e&fccid=64cffe395a99ee45&vjs=3
"Senior Data Scientist, Trust & Safety",Credit Karma,"Charlotte, NC","Build machine learning models to detect various types of fraud and risk.
Good understanding of machine learning algorithms and frameworks (e.g., regression,…",,9 days ago,https://www.indeed.com/rc/clk?jk=b82a5debdb632569&fccid=18a0fc6503dc7b4e&vjs=3
