JobTitle,Company,Location,PostDate,ExtractDate,Summary,JobUrl
Senior Accountant,Corvid Technologies LLC,"Mooresville, NC 28117",30+ days ago,2020-11-27,"You’ll be involved in everything from providing your thoughts on business strategy to organizing contract files and journal entries.
2-5 years of experience.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bhg8u1w9r_kD05juVR7y2SCtq2ZqWPaYG6Na1NIAG2HXVlgBYasEVQHgwhU-2YlD0cTM6vo8Uu6QKopK3Rvk5sH_rZrss66FT5LaeH-RnZ1BBqmznxUZ_GrIQTnv5NzmKvDs8P3Pt64XdMXD3EbX_MH9VPIwfa5ACCgJb2WIN8THjqPY5Rp0wzoLQCMmwvSoHk779IKUUQvX9MXfbUNeDK1G-UQC5dSaVQWj-P2i7A2CFurbWlXsUufzC7wgujxA_xMAsWV0jexEeKlmFZeodm0bUKdv0bgpdbmt0xdNTN6rjed1zsra24DWwRxeEXqLg3WuDuXJdLQHcAsd3qFickkQdvdXTChm34CGyIo1CE6jokgvGcQvY6hkg6ch4Gw9h_HThkOkFnNKgChaQDsE_TyJllu0ITFar_IxW4538WyOWZSEnUbRLGAyW-eai9VIgKvEEyP-h2Vq722kO0JEM9&p=0&fvj=1&vjs=3
CPA Senior Tax Accountant,Ken R Adams CPAs PA,"Charlotte, NC 28210 (Quail Hollow area)",14 days ago,2020-11-27,"We offer 401k match. health insurance and paid vacation off every friday after tax season! .
Job Types: Full-time, Part-time.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_00Q_tH0hnVh1sObUpCTEv8eW_HRxuzprptC2Rn6K3qWJqnsjSNzQumo29dEM0SpF13iQBYzvE6gb4gRmEyUCVjXpdElqPd2ZY96YeRiGRkEWwCXwCa48LfJ_oVCBwL1TUhN8u_ezqhyia_FBvx_HQiKvtOVdWWjmianaEXerjUO09Bz6CrznSFmqqSonZosWhCaBQlZKIBtB5ZYWIwBgvGnAjKKYR3WkkufXTo38u7b4Bd_GH_vaUpFAvGGuB2kFZXHHVKzSq6hJ6xKnvPszQrJdUch2BuDCFkVzsEmkCScJyRZw8OqIzI_WMmsARCfQDg2AGC42t2DVjlS0Tp573hChCJH4MzLZt5Hg4je4qDzfnd5FgtkASUcmfoRGSIjOFsDo2Z4JnqeKid3f14zU2X-AlMcXeEq4acZ9_52VFs3LpNBbWMa2PkAgZ-HA7d1B2IZ3Nx4Ren10Ue_tadwh&p=1&fvj=1&vjs=3
Senior Staff Accountant,Iora Health,"Charlotte, NC",16 days ago,2020-11-27,"Support the annual audit process, including preparation of the financial statements and related schedules.
Reporting to the Accounting Manager, the Senior Staff…",https://www.indeed.com/rc/clk?jk=1fd77a6b96f2955a&fccid=2654239a79ad09ba&vjs=3
Senior Accountant,Childress Klein,"Charlotte, NC 28202 (Downtown Charlotte area)",16 days ago,2020-11-27,This positionÂ will partner with team members and senior leadershipÂ to ensure the efficient operation of the accounting department.,https://www.indeed.com/rc/clk?jk=e8934e1168d9ca5a&fccid=9b5266006632af9e&vjs=3
Senior Staff Accountant,Dyon Management,"Charlotte, NC 28206 (Tryon Hills area)",8 days ago,2020-11-27,"Advanced knowledge of generally accepted accounting principles.
Perform account reconciliations, account analysis, accrual calculations, and other related…",https://www.indeed.com/company/Dyon-Management/jobs/Senior-Staff-Accountant-b649cef1dae86f23?fccid=57d07b4c3a9e9eaa&vjs=3
Senior Accountant,ScentAir Technologies LLC,"Charlotte, NC 28217",16 days ago,2020-11-27,The Senior Accountant applies principles of accounting to analyze financial information and prepare financial reports by performing the following duties.,https://www.indeed.com/rc/clk?jk=cc79d3113b3505ba&fccid=978ff521703cc276&vjs=3
Senior Accountant,"Nederman Holding USA, Inc","Charlotte, NC",9 days ago,2020-11-27,"3-5 years of public accounting experience in a large firm.
Guide junior accountants and other team members by answering questions and coordinating information…",https://www.indeed.com/rc/clk?jk=c85070548692e5ea&fccid=8e4e18718d3c59b3&vjs=3
Senior Revenue Accountant,AccruePartners,"Charlotte, NC 28203 (Dilworth area)",1 day ago,2020-11-27,"3-5 years of public accounting experience in a large firm.
Guide junior accountants and other team members by answering questions and coordinating information…",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFTghBGlLhymrC2PeMMYObPYHFxv2Nw3CUu679la0BvBHizm877tdjeIfaLHYnwahvZtsTjn6YX1YHEQyrnJJ1pBOxbObv7AEQNzKZ0vuavT99zL7UXtkhoZTC88p4DBthYFD_xk1sj-jCLap6lfyp4x8gYCLz3YmHU_zSydmt_HsO8mCNxoApAQhe8jAgJY35-PqaHmWGgW0lSA-ACbLOwX3Vj_uyUWpwaqZyN_Z6B7YtgsAab0K0oNGlyfZt4mDwFlvT8PCZ7WiRlZq4Q0lznpAPOkfoV23tqZLUCmF1RMJUxBuuBrjXgiQXCSu_S_3ZdLmAsToMD72sh2xcjqRYE8uVnmIT3kZJJ08pwdZICZ0hgX-7jyr2Mx0U-qU8HnXjVQPoXzl6c5cJgyjRmxg8BrpA_slVA5ojCpvAueaozBsE=&p=7&fvj=0&vjs=3
Senior Property Accountant,SSG,"Charlotte, NC 28202 (Downtown Charlotte area)",30+ days ago,2020-11-27,"Post monthly debt service payments for each property; reconcile monthly loan activity.
As a Senior Property Accountant, you ensure all transactions related to…",https://www.indeed.com/company/Midtown-Search-Group/jobs/Senior-Property-Accountant-4df2453c9e5b87fc?fccid=3cd66e9f50f66a25&vjs=3
Senior Corporate Accountant,Front Yard Residential,"Charlotte, NC",10 days ago,2020-11-27,"Ability to maintain accurate records and accounting schedules.
This role will primarily focus on general ledger accounting, reconciliations, financial reporting…",https://www.indeed.com/rc/clk?jk=482351029393b4b6&fccid=3982abcccefc7ded&vjs=3
